,Boston,Cambridge
92,park-boston-monthly-transactions-by-zone-2015,
93,parking-meters,
94,parking-tickets-portal-web-statistics,
95,pedestrian-ramp-inventory,
96,planning-districts,
97,police-districts,
98,polling-locations,
99,precincts,
100,property-assessment,
101,public-schools,
102,public-works-active-work-zones,
103,public-works-districts,
104,rainfall-data,
105,research-statistics,
106,sea-level-rise-plus-5-feet,
107,sea-level-rise-plus-7-5-feet,
108,sidewalk-centerline,
109,sidewalk-inventory,
110,snow-emergency-parking,
111,snow-emergency-routes,
112,street-light-control-box-electric-power-cost-usage-details,
113,streetlight-locations,
114,street-light-retrofits-2014,
115,street-sweeping-schedules,
116,tot-sprays,
117,traffic-related-data,
118,traffic-signals,
119,trash-city,
120,trash-collection-days,
121,trash-schedules-by-address,
122,trees,
123,vision-zero-comment,
124,vision-zero-data,
125,vision-zero-entry,
126,wards,
127,wicked-free-wi-fi-daily-connections,
128,wicked-free-wi-fi-locations,
129,wow-boston,
130,zip-codes1,
131,zoning-districts,
132,zoning-subdistricts,
