,Chicago,Evanston,Naperville,Cook County
32,Public-Safety/Fire-Stations-Map/hp65-bcxv,Information-Technology-includes-maps-geospatial-da/Water-bodies/n4ji-pad5, DuPage County Open Data Portal\'a0,GIS-Maps/ccgisdata-Tax-Increment-Financing-TIF-Districts-20/si4i-nr
33,Public-Safety/Crimes-One-year-prior-to-present/x2n5-8w5q,Information-Technology-includes-maps-geospatial-da/Zoning-Districts/72fa-9g7m, rms.dbo.%vw MappingDailyBulletin\'a0,GIS-Maps/ccgisdata-Right-Of-Way-2015/ncd7-awz3
34,Public-Safety/Sex-Offenders/vc9r-bqv,Community-Development/2011-14-City-of-Evanston-Rates-of-Poverty-Reductio/j8vj-zci4, Shows the location of City contracted mowing sites around the city.,GIS-Maps/ccgisdata-Lot-2015/wwzc-wm
35,Administration-Finance/Payments/s4vu-giwb,Police/Visualization-of-2017-Q1-Evanston-Police-Departmen/qhy5-hx7w, Herbicide Sites\'a0,GIS-Maps/ccgisdata-Parcel-2015/nxb6-rw3
36,Public-Safety/Crimes-2015/vwwp-7yr9,Information-Technology-includes-maps-geospatial-da/Problem-Solving-Team-PST-beats/yggx-ey4x, Shows the location of City contracted Herbicide locations throughout the city.,Finance-Administration/Inspector-General-Employment-Plan-Officer-Semi-Ann/yjv5-k6f
37,Public-Safety/Crimes-2001-to-present-Map/c4ep-ee5m,Information-Technology-includes-maps-geospatial-da/Bicycle-routes-lanes-and-paths/hv4b-x3, Street Light Cabling\'a0,et/Inspector-General-Employment-Quarterly-Action-Repo/u6q5-2
38,Transportation/CTA-System-Information-Map-Showing-Bus-Stop-Shelte/mw4h-s8xu,Information-Technology-includes-maps-geospatial-da/Driveway-edges/k38c-xz4, City of Naperville Street Light Cabling,et/Cook-County-Cooling-Centers-Map/dnn9-esge
39,Service-Requests/311-Service-Requests-Pot-Holes-Reported/7as2-ds3,Information-Technology-includes-maps-geospatial-da/Railroad-tracks/pqur-kzyj, Street Light Controllers\'a0,et/Cook-County-Cooling-Centers/itej-axg8
40,Service-Requests/311-Service-Requests-Tree-Trims/uxic-zsuj,Police/2013-15-Crime-Rates/win7-xbeb, City of Naperville Street Light Controllers,Finance-Administration/Fiscal-Year-2017-Preliminary-Budget-Special-Purpos/t4cr-d2x
41,Community-Economic-Development/Business-Licenses/adax-pps3,Information-Technology-includes-maps-geospatial-da/Crosswalks/6ehj-, Street Light Handholes\'a0,Finance-Administration/Fiscal-Year-2017-Preliminary-Budget-Fiscal-Year-20/vahr-6ny2
42,FOIA/FOIA-Request-Log-Police/wjkc-agnm,Information-Technology-includes-maps-geospatial-da/Tax-Increment-Financing-TIF-districts/69vf-66y3, City of Naperville Street Light handholes,Finance-Administration/Fiscal-Year-2017-Preliminary-Budget-Fiscal-Year-20/cwwi-9unb
43,Transportation/CTA-List-of-CTA-Datasets/pnau-cf66,Information-Technology-includes-maps-geospatial-da/Local-historic-districts/hyjc-uyu, Street Light Junction Boxes\'a0,Finance-Administration/Fiscal-Year-2017-Preliminary-Budget-Fiscal-Year-20/an54-gq
44,FOIA/FOIA-Request-Log-Fire/un3c-ixb7,Public-Works/Evanston-2015-Drinking-Water-Quality/8qb5-yry6, City of Naperville Street Light Junction Boxes,Finance-Administration/Fiscal-Year-2017-Preliminary-Budget-Fiscal-Year-20/ubkc-mnqr
45,Health-Human-Services/Neighborhood-Health-Clinics-Historical/mw69-m6x,Information-Technology-includes-maps-geospatial-da/Speed-humps/mkfy-2fn8, Street Light Poles\'a0,GIS-Maps/ccgisdata-Election-Precinct-Data-2009/cj55-yk65
46,Service-Requests/311-Service-Requests-Sanitation-Code-Complaints/me59-5,Police/2017-Q1-Evanston-Police-Department-Adult-Arrestees/juka-cf8m, City of Naperville Street Light Poles,GIS-Maps/ccgisdata-Election-Precinct-Data-2011/trqg-itvx
47,Transportation/Red-Light-Camera-Violations/spqx-js37,2010-2014-Evanston-Labor-Force-Participation/p9fd-t988, Will County Open Data Portal\'a0,Finance-Administration/Investor-Relations-Credit-Agreements/cppp-8hq
48,Public-Safety/Chicago-Police-Department-Illinois-Uniform-Crime-R/c7ck-438e,Parking/Credit-Card-Data-2016/3t79-cjtb, DuPage County Open Data Portal\'a0,et/Commission-on-Women-s-Issues-Public-Hearing-Report/u88z-w
